departamento,ciudad,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total
Meta,Uribe,0,1,3,4,1,0,0,0,4,0,0,3,3,0,1,1,2,0,0,0,1,0,0,1,2,0,0,1,0,0,1,29
Bolívar,San Jacinto,0,0,0,0,0,1,3,3,0,6,5,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,29
Norte de Santander,Convención,0,0,0,0,1,0,3,1,6,2,4,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,3,0,0,0,3,29
Nariño,Pasto,0,0,0,0,0,1,7,0,8,5,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,28
Antioquia,Argelia,0,0,0,0,0,3,0,0,4,4,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,28
Bolívar,Montecristo,0,0,0,0,1,0,5,0,2,1,3,4,1,0,1,0,0,0,0,0,0,0,0,0,1,2,3,2,0,2,0,28
Santander,Bucaramanga,0,0,0,0,1,0,0,2,12,7,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Huila,Campoalegre,0,0,0,0,0,0,2,3,4,3,3,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28
Sucre,Sincelejo,0,0,0,0,0,0,2,1,2,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,28
Bolívar,Cantagallo,0,0,0,0,0,0,1,1,2,3,2,4,2,1,1,0,0,0,0,0,0,0,0,2,1,1,0,1,0,4,2,28
Nariño,Nariño department,0,0,2,1,1,1,1,1,1,1,1,0,2,1,3,7,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,27
Bolívar,Morales,0,0,0,0,1,0,0,2,0,3,3,0,1,1,1,0,0,0,0,0,0,1,0,1,1,3,1,0,0,5,3,27
Valle del Cauca,Palmira,0,0,0,0,0,0,3,3,6,3,4,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27
Antioquia,Yolombó,0,0,0,0,1,3,3,11,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,27
Putumayo,Puerto Guzmán,0,0,0,0,0,0,0,0,1,3,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,7,2,26
Putumayo,Putumayo department,0,0,0,0,5,1,2,3,4,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,26
Cesar,San Diego,0,0,0,0,0,1,1,7,3,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Nariño,Ricaurte,0,0,0,0,0,0,1,2,2,3,6,2,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,26
Putumayo,Puerto Leguizamo,0,0,0,0,0,1,0,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,3,3,26
Putumayo,San Miguel,0,0,0,1,0,3,5,1,1,1,0,8,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,26
Norte de Santander,Hacarí,0,0,0,0,1,0,0,3,3,5,1,6,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,26
