departamento,municipio,mine_count,mine_incidents,demining_count,matched
META,FUENTE DE ORO,2,1,1,True
META,GRANADA,19,10,9,True
META,GUAMAL,18,4,14,True
META,LA MACARENA,550,56,494,True
META,LEJANÍAS,117,23,94,True
META,MAPIRIPÁN,86,16,70,True
META,MESETAS,958,79,879,True
META,PUERTO CONCORDIA,41,1,40,True
META,PUERTO GAITÁN,49,6,43,True
META,PUERTO LLERAS,68,9,59,True
META,PUERTO LÓPEZ,3,0,3,True
META,PUERTO RICO,648,62,586,True
META,SAN CARLOS DE GUAROA,1,0,1,True
META,SAN JUAN DE ARAMA,104,38,66,True
META,SAN JUANITO,18,7,11,True
META,SAN MARTÍN,10,0,10,True
META,URIBE,1599,104,1495,True
META,VILLAVICENCIO,20,8,12,True
META,VISTAHERMOSA,749,158,591,True
NARIÑO,ANCUYÁ,1,0,1,True
NARIÑO,BARBACOAS,226,53,173,True
NARIÑO,BELÉN,1,1,0,True
NARIÑO,COLÓN,1,1,0,True
NARIÑO,CUMBAL,38,8,30,True
NARIÑO,CUMBITARA,54,26,28,True
NARIÑO,CaRDOBA,21,1,20,False
NARIÑO,EL CHARCO,26,5,21,True
NARIÑO,EL PEÑOL,1,0,1,True
NARIÑO,EL ROSARIO,23,3,20,True
NARIÑO,EL TABLÓN,1,0,1,True
NARIÑO,EL TAMBO,2,0,2,True
NARIÑO,FRANCISCO PIZARRO,3,0,3,True
NARIÑO,FUNES,1,0,1,True
NARIÑO,GUACHUCAL,1,0,1,True
NARIÑO,IPIALES,92,17,75,True
NARIÑO,LA CRUZ,5,2,3,True
NARIÑO,LA FLORIDA,2,0,2,True
NARIÑO,LA LLANADA,42,34,8,True
NARIÑO,LA TOLA,1,0,1,True
NARIÑO,LA UNIÓN,1,0,1,True
NARIÑO,LEIVA,19,4,15,True
NARIÑO,LINARES,3,0,3,True
NARIÑO,LOS ANDES,37,19,18,True
NARIÑO,MAGÜÍ,76,17,59,True
NARIÑO,MALLAMA,30,3,27,True
NARIÑO,MOSQUERA,2,0,2,True
NARIÑO,OLAYA HERRERA,25,2,23,True
NARIÑO,PASTO,8,0,8,True
NARIÑO,POLICARPA,110,51,59,True
NARIÑO,POTOSÍ,3,1,2,True
NARIÑO,PUERRES,23,4,19,True
NARIÑO,PUPIALES,1,0,1,True
NARIÑO,RICAURTE,186,64,122,True
NARIÑO,ROBERTO PAYÁN,57,21,36,True
NARIÑO,SAMANIEGO,144,87,57,True
NARIÑO,SAN BERNARDO,1,1,0,True
NARIÑO,SAN LORENZO,2,1,1,True
NARIÑO,SAN PABLO,3,1,2,True
NARIÑO,SAN PEDRO DE CARTAGO,0,0,0,True
NARIÑO,SANDONÁ,2,2,0,True
NARIÑO,SANTA BÁRBARA,18,5,13,True
NARIÑO,SANTA CRUZ,96,40,56,True
NARIÑO,SAPUYES,1,0,1,True
NARIÑO,TAMINANGO,2,0,2,True
NARIÑO,TUMACO,1673,221,1452,True
NARIÑO,TÚQUERRES,7,1,6,True
NARIÑO,YACUANQUER,1,0,1,True
NORTE DE SANTANDER,ARBOLEDAS,8,3,5,True
NORTE DE SANTANDER,BOCHALEMA,1,0,1,True
NORTE DE SANTANDER,BUCARASICA,15,2,13,True
NORTE DE SANTANDER,CHITAGÁ,7,0,7,True
NORTE DE SANTANDER,CONVENCIÓN,238,57,181,True
NORTE DE SANTANDER,CUCUTILLA,1,0,1,True
NORTE DE SANTANDER,CÁCHIRA,6,2,4,True
NORTE DE SANTANDER,CÚCUTA,21,5,16,True
